"Sujeto Obligado",Ejercicio,"Fecha de Inicio Del periodo Que Se Informa","Fecha de Término Del periodo Que Se Informa","Funcion Del Sujeto Obligado (catálogo)","Área Administrativa Encargada de Solicitar El Servicio o Producto, en su caso","Clasificación Del(los) Servicios (catálogos)","Tipo de Servicio","Tipo de Medio (catálogo)","Descripción de Unidad","Tipo (catálogo)","Nombre de La Campaña O Aviso Institucional, en su Caso","Año de La Campaña","Tema de La Campaña O Aviso Institucional","Objetivo Institucional","Objetivo de Comunicación","Costo por unidad","Clave Única de Identificación de Campaña","Autoridad Que Proporcionó La Clave","Cobertura (catálogo)","Ámbito Geográfico de Cobertura","Fecha de Inicio de La Campaña O Aviso Institucional","Fecha de término de La Campaña O Aviso Institucional","Sexo (catálogo)","Lugar de Residencia","Nivel Educativo","Grupo de Edad","Nivel Socioeconómico","Respecto a Los Proveedores y su Contratación","Respecto a Los Recursos y El Presupuesto","Respecto Al Contrato y Los Montos","Área(s) Responsable(s) Que Genera(n), Posee(n), Publica(n) Y Actualizan La Información","Fecha de validación","Fecha de actualización",Nota
"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",2015,01-Enero-15,31-Marzo-15,"Contratante y solicitante","Dirección General de Comunicación Social y Difusión","Servicios de difusión en medios de comunicación","Medios impresos","Diarios Editados en el D.F.","El Universal; Cobertura: nacional;  Ámbito geográfico de cobertura: Nacional; Fecha de inicio: 06/01/2015; Fecha de término: 06/01/2015; Grupo(s) de edad: 13-65; Lugar de residencia: Nacional ; Nivel  socieconómico: A/B/C+ 26%,C 30%, D+ 18%, D/E 24%; Nivel educativo: 0; Sexo: Ambos ","Avisos Institucionales","Elección del Presidente de la Suprema Corte de Justicia de la Nación y Presidente del Consejo de la Judicatura Federal",2015,Otro,"Promover el pleno ejercicio de los derechos de acceso a la información pública y de protección de datos personales","Mantener y fomentar las relaciones entre el INAI y el Poder Judicial de la Federación",19662.00,,,Nacional,México,2015-01-06,2015-01-06,Ambos,"Aguascalientes * Baja California * Baja California Sur * Campeche * Chiapas * Chihuahua * Coahuila de Zaragoza * Colima * Distrito Federal * Durango * Guanajuato * Guerrero * Hidalgo * Jalisco * México * Michoacán de Ocampo * Morelos * Nayarit * Nuevo León * Oaxaca * Puebla * Querétaro * Quintana Roo * San Luis Potosí * Sinaloa * Sonora * Tabasco * Tamaulipas * Tlaxcala * Veracruz de Ignacio de la Llave * Yucatán * Zacatecas",,"13 - 65",,2016-141-2-1-1,2016-141-2-1-1,2016-141-2-1-1,"Dirección General de Comunicación Social y Difusión",2016-12-05,2016-12-05,
"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",2015,01-Abril-15,30-Junio-15,"Contratante y solicitante","Dirección General de Comunicación Social y Difusión","Servicios de difusión en medios de comunicación","Medios impresos","Diarios Editados en el D.F.","El Universal; Cobertura: nacional;  Ámbito geográfico de cobertura: Nacional; Fecha de inicio: 29/04/2015; Fecha de término: 02/05/2015; Grupo(s) de edad: 13-65; Lugar de residencia: Nacional ; Nivel  socieconómico: A/B/C+ 26%,C 30%, D+ 18%, D/E 24%; Nivel educativo: 0; Sexo: Ambos ;","Avisos Institucionales","Fiesta de la Transparencia",2015,"Acceso a la información, transparencia y rendición de cuentas","Promover el pleno ejercicio de los derechos de acceso a la información pública y de protección de datos personales","Promover y difundir los Derechos y Acceso a la Protección de Datos Personales",40437.60,,,Nacional,México,2015-04-29,2015-05-02,Ambos,"Aguascalientes * Baja California * Baja California Sur * Campeche * Chiapas * Chihuahua * Coahuila de Zaragoza * Colima * Distrito Federal * Durango * Guanajuato * Guerrero * Hidalgo * Jalisco * México * Michoacán de Ocampo * Morelos * Nayarit * Nuevo León * Oaxaca * Puebla * Querétaro * Quintana Roo * San Luis Potosí * Sinaloa * Sonora * Tabasco * Tamaulipas * Tlaxcala * Veracruz de Ignacio de la Llave * Yucatán * Zacatecas","Doctorado * Maestria * Superior * Media Superior","13 - 65","AB Alta * C+ Media Alta * C Media * D+ Media Baja * D Baja * E Marginada",2016-142-38-1-1,2016-142-38-1-1,2016-142-38-1-1,"Dirección General de Comunicación Social y Difusión",2016-12-05,2016-12-05,
"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",2015,01-Abril-15,30-Junio-15,"Contratante y solicitante","Dirección General de Comunicación Social y Difusión","Servicios de difusión en medios de comunicación","Medios impresos","Diarios Editados en el D.F.","El Universal; Cobertura: nacional;  Ámbito geográfico de cobertura: Nacional; Fecha de inicio: 25/05/2015; Fecha de término: 25/05/2015; Grupo(s) de edad: 13-65 (se colocó 18-60); Lugar de residencia: Nacional ; Nivel  socieconómico: A/B/C+ 26%,C 30%, D+ 18%, D/E 24%; Nivel educativo: 0; Sexo: Ambos ;","Avisos Institucionales","Alcances y Retos de la Ley General de Transparencia y Acceso a la Información Pública",2015,"Acceso a la información, transparencia y rendición de cuentas","Promover el pleno ejercicio de los derechos de acceso a la información pública y de protección de datos personales","Promover y difundir el quehacer Institucional",30804.96,,,Nacional,México,2016-12-06,2015-05-25,Ambos,"Aguascalientes * Baja California * Baja California Sur * Campeche * Chiapas * Chihuahua * Coahuila de Zaragoza * Colima * Distrito Federal * Durango * Guanajuato * Guerrero * Hidalgo * Jalisco * México * Michoacán de Ocampo * Morelos * Nayarit * Nuevo León * Oaxaca * Puebla * Querétaro * Quintana Roo * San Luis Potosí * Sinaloa * Sonora * Tabasco * Tamaulipas * Tlaxcala * Veracruz de Ignacio de la Llave * Yucatán * Zacatecas","Superior * Media Superior * Secundaria * Primaria","13 - 65","AB Alta * C+ Media Alta * C Media * D+ Media Baja * D Baja * E Marginada",2016-145-9-1-1,2016-145-9-1-1,2016-145-9-1-1,"Dirección General de Comunicación Social y Difusión",2016-12-05,2016-12-05,
"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",2015,01-Abril-15,30-Junio-15,"Contratante y solicitante","Dirección General de Comunicación Social y Difusión","Servicios de difusión en medios de comunicación","Medios impresos","Diarios Editados en el D.F.","El Universal; Cobertura: nacional;  Ámbito geográfico de cobertura: Nacional; Fecha de inicio: 19/06/2015; Fecha de término: 22/06/2015; Grupo(s) de edad: 13-65; Lugar de residencia: Nacional ; Nivel  socieconómico: A/B/C+ 26%,C 30%, D+ 18%, D/E 24%; Nivel educativo: 0; Sexo: Ambos ;","Avisos Institucionales","Sistema Nacional de Transparencia, Acceso a la Información Publica y Protección de Datos Personales",2015,"Acceso a la información, transparencia y rendición de cuentas","Promover el pleno ejercicio de los derechos de acceso a la información pública y de protección de datos personales","Promover y difundir el Derecho de Acceso y Protección de Datos Personales",107817.36,,,Nacional,México,2015-06-18,2015-06-23,Ambos,"Aguascalientes * Baja California * Baja California Sur * Campeche * Chiapas * Chihuahua * Coahuila de Zaragoza * Colima * Distrito Federal * Durango * Guanajuato * Guerrero * Hidalgo * Jalisco * México * Michoacán de Ocampo * Morelos * Nayarit * Nuevo León * Oaxaca * Puebla * Querétaro * Quintana Roo * San Luis Potosí * Sinaloa * Sonora * Tabasco * Tamaulipas * Tlaxcala * Veracruz de Ignacio de la Llave * Yucatán * Zacatecas","Doctorado * Maestria * Superior * Media Superior * Secundaria * Primaria","13 - 65","AB Alta * C+ Media Alta * C Media * D+ Media Baja * D Baja * E Marginada",2016-146-17-1-1,2016-146-17-1-1,2016-146-17-1-1,"Dirección General de Comunicación Social y Difusión",2016-12-05,2016-12-05,
"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",2015,01-Julio-15,30-Septiembre-15,"Contratante y solicitante","Dirección General de Comunicación Social y Difusión","Servicios de difusión en medios de comunicación","Medios impresos","Diarios Editados en el D.F.","El Universal; Cobertura: nacional;  Ámbito geográfico de cobertura: Nacional; Fecha de inicio: 19/08/2015; Fecha de término: 20/08/2015; Grupo(s) de edad: 13-65; Lugar de residencia: Nacional ; Nivel  socieconómico: A/B/C+ 26%,C 30%, D+ 18%, D/E 24%; Nivel educativo: 0; Sexo: Ambos ;","Avisos Institucionales","Inauguración del Centro de Atención a la Sociedad y el Servicio TELINAI",2015,"Acceso a la información, transparencia y rendición de cuentas","Promover el pleno ejercicio de los derechos de acceso a la información pública y de protección de datos personales","Promover y difundir la nueva herramienta para ejercer el Derecho de Acceso a la Información",53908.68,,,Nacional,México,2015-08-19,2015-12-01,Ambos,"Aguascalientes * Baja California * Baja California Sur * Campeche * Chiapas * Chihuahua * Coahuila de Zaragoza * Colima * Distrito Federal * Durango * Guanajuato * Guerrero * Hidalgo * Jalisco * México * Michoacán de Ocampo * Morelos * Nayarit * Nuevo León * Oaxaca * Puebla * Querétaro * Quintana Roo * San Luis Potosí * Sinaloa * Sonora * Tabasco * Tamaulipas * Tlaxcala * Veracruz de Ignacio de la Llave * Yucatán * Zacatecas","Doctorado * Maestria * Superior","13 - 65","AB Alta * C+ Media Alta * C Media * D+ Media Baja * D Baja * E Marginada",2016-148-23-1-1,2016-148-23-1-1,2016-148-23-1-1,"Dirección General de Comunicación Social y Difusión",2016-12-05,2016-12-05,
"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",2015,01-Octubre-15,31-Diciembre-15,"Contratante y solicitante","Dirección General de Comunicación Social y Difusión","Servicios de difusión en medios de comunicación","Medios impresos","Diarios Editados en el D.F.","El Universal; Cobertura: nacional;  Ámbito geográfico de cobertura: Nacional; Fecha de inicio: 30/09/2015; Fecha de término: 01/10/2015; Grupo(s) de edad: 13-65; Lugar de residencia: Nacional ; Nivel  socieconómico: A/B/C+ 26%,C 30%, D+ 18%, D/E 24%; Nivel educativo: 0; Sexo: Ambos ;","Avisos Institucionales","Semana Nacional de Transparencia 2015",2015,"Acceso a la información, transparencia y rendición de cuentas","Promover el pleno ejercicio de los derechos de acceso a la información pública y de protección de datos personales","Promover y difundir los Derechos de Acceso a la Información y Protección de Datos",53908.68,,,Nacional,México,2015-09-22,2015-10-06,Ambos,"Aguascalientes * Baja California * Baja California Sur * Campeche * Chiapas * Chihuahua * Coahuila de Zaragoza * Colima * Distrito Federal * Durango * Guanajuato * Guerrero * Hidalgo * Jalisco * México * Michoacán de Ocampo * Morelos * Nayarit * Nuevo León * Oaxaca * Puebla * Querétaro * Quintana Roo * San Luis Potosí * Sinaloa * Sonora * Tabasco * Tamaulipas * Tlaxcala * Veracruz de Ignacio de la Llave * Yucatán * Zacatecas","Doctorado * Maestria * Superior * Media Superior * Secundaria * Primaria","13 - 65","AB Alta * C+ Media Alta * C Media * D+ Media Baja * D Baja * E Marginada",2016-149-31-1-1,2016-149-31-1-1,2016-149-31-1-1,"Dirección General de Comunicación Social y Difusión",2016-12-05,2016-12-05,
"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",2015,01-Octubre-15,31-Diciembre-15,"Contratante y solicitante","Dirección General de Comunicación Social y Difusión","Servicios de difusión en medios de comunicación","Medios impresos","Diarios Editados en el D.F.","Otro: 18,7 cm base X 9 cm de alto 
El Universal; Cobertura: nacional;  Ámbito geográfico de cobertura: Nacional; Fecha de inicio: 09/11/2015; Fecha de término: 11/11/2015; Grupo(s) de edad: 13-65; Lugar de residencia: Nacional ; Nivel  socieconómico: A/B/C+ 26%,C 30%, D+ 18%, D/E 24%; Nivel educativo: 0; Sexo: Ambos ;","Avisos Institucionales",Edictos,2015,Otro,"Promover el pleno ejercicio de los derechos de acceso a la información pública y de protección de datos personales","Informar la imposición de sanciones",39324.00,,,Nacional,México,2015-11-09,2015-11-11,Ambos,"Aguascalientes * Baja California * Baja California Sur * Campeche * Chiapas * Chihuahua * Coahuila de Zaragoza * Colima * Distrito Federal * Durango * Guanajuato * Guerrero * Hidalgo * Jalisco * México * Michoacán de Ocampo * Morelos * Nayarit * Nuevo León * Oaxaca * Puebla * Querétaro * Quintana Roo * San Luis Potosí * Sinaloa * Sonora * Tabasco * Tamaulipas * Tlaxcala * Veracruz de Ignacio de la Llave * Yucatán * Zacatecas",,"13 - 65","AB Alta * C+ Media Alta * C Media * D+ Media Baja * D Baja",2016-150-39-1-1,2016-150-39-1-1,2016-150-39-1-1,"Dirección General de Comunicación Social y Difusión",2016-12-05,2016-12-05,
"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",2015,01-Octubre-15,31-Diciembre-15,"Contratante y solicitante","Dirección General de Comunicación Social y Difusión","Servicios de difusión en medios de comunicación","Medios impresos","Diarios Editados en el D.F.","El Universal; Cobertura: nacional;  Ámbito geográfico de cobertura: Nacional; Fecha de inicio: 09/12/2015; Fecha de término: 10/12/2015; Grupo(s) de edad: 13-65; Lugar de residencia: Nacional ; Nivel  socieconómico: A/B/C+ 26%,C 30%, D+ 18%, D/E 24%; Nivel educativo: 0; Sexo: Ambos ;","Avisos Institucionales","Encuentro Regional de Transparencia y Protección de Datos Personales",2015,"Acceso a la información, transparencia y rendición de cuentas","Promover el pleno ejercicio de los derechos de acceso a la información pública y de protección de datos personales","Promover y difundir el Derecho de Acceso y Protección de Datos Personales",43117.20,,,Nacional,México,2015-12-09,2015-12-10,Ambos,"Aguascalientes * Baja California * Baja California Sur * Campeche * Chiapas * Chihuahua * Coahuila de Zaragoza * Colima * Distrito Federal * Durango * Guanajuato * Guerrero * Hidalgo * Jalisco * México * Michoacán de Ocampo * Morelos * Nayarit * Nuevo León * Oaxaca * Puebla * Querétaro * Quintana Roo * San Luis Potosí * Sinaloa * Sonora * Tabasco * Tamaulipas * Tlaxcala * Veracruz de Ignacio de la Llave * Yucatán * Zacatecas","Doctorado * Maestria * Superior * Media Superior * Secundaria * Primaria","13 - 65",,2016-151-99-1-1,2016-151-99-1-1,2016-151-99-1-1,"Dirección General de Comunicación Social y Difusión",2016-12-05,2016-12-05,
"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",2015,01-Octubre-15,31-Diciembre-15,"Contratante y solicitante","Dirección General de Comunicación Social y Difusión","Servicios de difusión en medios de comunicación","Medios impresos","Diarios Editados en el D.F.","El Universal; Cobertura: nacional;  Ámbito geográfico de cobertura: Nacional; Fecha de inicio: 12/11/2015; Fecha de término: 23/11/2015; Grupo(s) de edad: 13-65 (se colocó 18-60); Lugar de residencia: Nacional ; Nivel  socieconómico: A/B/C+ 26%,C 30%, D+ 18%, D/E 24%; Nivel educativo: 0; Sexo: Ambos ;","Avisos Institucionales","3er. Seminario Internacional sobre Gestión Documental y Transparencia y nombramiento del Rector de la UNAM",2015,"Acceso a la información, transparencia y rendición de cuentas","Promover el pleno ejercicio de los derechos de acceso a la información pública y de protección de datos personales","Promover el pleno ejercicio de los derechos de acceso a la información pública y de protección de datos personales",74858.28,,,Nacional,México,2015-11-13,2015-11-18,Ambos,"Aguascalientes * Baja California * Baja California Sur * Campeche * Chiapas * Chihuahua * Coahuila de Zaragoza * Colima * Distrito Federal * Durango * Guanajuato * Guerrero * Hidalgo * Jalisco * México * Michoacán de Ocampo * Morelos * Nayarit * Nuevo León * Oaxaca * Puebla * Querétaro * Quintana Roo * San Luis Potosí * Sinaloa * Sonora * Tabasco * Tamaulipas * Tlaxcala * Veracruz de Ignacio de la Llave * Yucatán * Zacatecas","Superior * Media Superior * Secundaria * Primaria","13 - 65","AB Alta * C+ Media Alta * C Media * D+ Media Baja * D Baja * E Marginada",2016-152-40-1-1,2016-152-40-1-1,2016-152-40-1-1,"Dirección General de Comunicación Social y Difusión",2016-12-05,2016-12-05,
"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",2015,01-Octubre-15,31-Diciembre-15,"Contratante y solicitante","Dirección General de Comunicación Social y Difusión","Servicios de difusión en medios de comunicación","Medios impresos","Diarios Editados en el D.F.","El Universal; Cobertura: nacional;  Ámbito geográfico de cobertura: Nacional; Fecha de inicio: 03/12/2015; Fecha de término: 04/12/2015; Grupo(s) de edad: 13-65; Lugar de residencia: Nacional ; Nivel  socieconómico: A/B/C+ 26%,C 30%, D+ 18%, D/E 24%; Nivel educativo: 0; Sexo: Ambos ;",Campañas,"Institucional 2015",2015,"Acceso a la información, transparencia y rendición de cuentas","Promover el pleno ejercicio de los derechos de acceso a la información pública y de protección de datos personales","Reforzar el conocimiento del nombre del Instituto y sus nuevas atribuciones, promover la cultura de la Transparencia y el Acceso a la Información Pública, promover la cultura de la Protección de Datos Personales en posesión de particulares",43117.20,,,Nacional,México,2015-11-20,2015-12-31,Ambos,"Aguascalientes * Baja California * Baja California Sur * Campeche * Chiapas * Chihuahua * Coahuila de Zaragoza * Colima * Distrito Federal * Durango * Estado de México * Guanajuato * Guerrero * Hidalgo * Jalisco * Michoacán de Ocampo * Morelos * Nayarit * Nuevo León * Oaxaca * Puebla * Querétaro * Quintana Roo * San Luis Potosí * Sinaloa * Sonora * Tabasco * Tamaulipas * Tlaxcala * Veracruz de Ignacio de la Llave * Yucatán * Zacatecas","Doctorado * Maestria * Superior * Media Superior * Secundaria * Primaria","13 - 65","AB Alta * C+ Media Alta * C Media * D+ Media Baja * D Baja * E Marginada",2016-153-98-1-1,2016-153-98-1-1,2016-153-98-1-1,"Dirección General de Comunicación Social y Difusión",2016-12-05,2016-12-05,
