"ID Respecto al contrato y los montos (Factura-Orden de compra-Contrato-Proveedor)","Fecha de Firma Del Contrato","Número O Referencia de Identificación Del Contrato","Objeto Del Contrato","Hipervínculo Al Contrato Firmado","Hipervínculo Al Convenio Modificatorio, en su Caso","Monto Total Del Contrato","Monto Pagado Al Periodo Publicado","Fecha de Inicio de Los Servicios Contratados","Fecha de Término de Los Servicios Contratados","Número de Factura","Hipervínculo a La Factura"
1-1-13-16,2015-12-05,OA-P154-15,"Servicios de producción de cápsulas informativas para la promoción del ejercicio de los derechos de acceso a la información y  protección de los datos personales",,,371200.00,371200.00,2015-12-05,2015-12-31,7,
11-1-7-17,2015-12-21,OA-P146-15,"Servicio de Difusión en medios complementarios y digitales de la Campaña Institucional 2015, cine minutos en complejos de Cinemex.",,,1160000.00,1160000.00,2015-12-04,2015-12-31,432,
118-1-3-73,2015-11-30,OA-C053-15,"Realización de un estudio de opinión cuantitativo mediante la técnica de encuesta cara a cara a nivel nacional",,,718620.00,718620.00,2015-12-08,2015-12-31,36662,
13-1-5-80,2015-12-21,OA-P144-15,"Servicio de Difusión en medios complementarios y digitales de la Campaña Institucional 2015, difusión de spot de 30 segundos en la aerolinea Interjet.",,,185600.00,185600.00,2015-12-15,2015-12-31,506,
164-1-12-81,2015-12-03,OA-P151-15,"Servicio de Difusión en medios digitales de la Campaña Institucional 2015, anuncios en medios digitales y motor de busqueda en Google y de Youtube",,,2126280.00,2126280.00,2015-12-04,2015-12-31,402964,
18-1-4-14,2015-12-21,OA-P143-15,"Servicio de Difusión en medios complementarios y digitales de la Campaña Institucional 2015, difusión de spot de 30 segundos en la aerolinea Aeroméxico.",,,750000.00,750000.00,2015-12-04,2015-12-31,777,
239-1-15-100,2016-11-22,OA/P099/16,"Servicio de difusión en medios complementarios de la campaña institucional 2016, red de televisión del STC Metro de la Ciudad de México. ",,,1160075.40,1160075.40,2016-11-08,2016-12-31,260,
240-1-16-65,2016-11-22,OA/P098/16," servicio de difusión en medios complementarios de la campaña institucional 2016. ",,,685815.20,685815.20,2016-11-08,2016-12-31,4586,
241-1-17-50,2016-11-22,OA/P097/16,"servicio de difusión en medios complementarios de la campaña institucional 2016.",,,695884.00,695884.00,2016-11-08,2016-12-31,20,
242-1-18-18,2016-11-22,OA/P096/16," servicio de difusión en medios complementarios de la campaña institucional 2016. ",,,1159637.50,1159637.50,2016-11-08,2016-12-31,2168,
243-1-19-14,2016-11-22,OA/P095/16," servicio de difusión en medios complementarios de la campaña institucional 2016 ",,,696000.00,696000.00,2016-11-08,2016-12-31,"1033 A",
244-1-20-101,2016-12-14,OA/P114/16,"servicio de difusión de la campaña del quehacer institucional en monitores ubicados en autobuses del Metrobús de la Ciudad de México.",,,299870.21,299870.21,2016-12-01,2016-12-26,"857 A",
267-1-21-102,2017-10-24,OA/C030/16,"servicio de producción y difusión de contenidos para redes sociales de las campañas institucionales 2016.",,,3578861.01,63104.00,2016-10-04,2016-12-26,"878 B",
268-1-21-102,2017-10-24,OA/C030/16,"servicio de producción y difusión de contenidos para redes sociales de las campañas institucionales 2016.",,,3578861.01,1592058.24,2016-10-04,2016-12-26,"876 B",
269-1-21-102,2017-10-24,OA/C030/16,"servicio de producción y difusión de contenidos para redes sociales de las campañas institucionales 2016.",,,3578861.01,872108.88,2016-10-04,2016-12-26,"877 B",
270-1-21-102,2017-10-24,OA/C030/16,"servicio de producción y difusión de contenidos para redes sociales de las campañas institucionales 2016.",,,3578861.01,185873.76,2016-10-04,2016-12-26,"879 B",
271-1-21-102,2017-10-24,OA/C030/16,"servicio de producción y difusión de contenidos para redes sociales de las campañas institucionales 2016.",,,3578861.01,130268.00,2016-10-04,2016-12-26,"895 B",
272-1-21-102,2017-10-24,OA/C030/16,"servicio de producción y difusión de contenidos para redes sociales de las campañas institucionales 2016.",,,3578861.01,198505.01,2016-10-04,2016-12-26,898,
273-1-21-102,2017-10-24,OA/C030/16,"servicio de producción y difusión de contenidos para redes sociales de las campañas institucionales 2016.",,,3578861.01,536943.12,2016-10-04,2016-12-26,880,
274-1-22-73,2016-11-23,OA/C033/16,"servicios relacionados con la elaboración de un estudio de opinión cuantitativo, mediante la técnica de encuesta cara a cara a nivel nacional",,,706440.00,706440.00,2016-11-03,2016-12-07,47559,
275-1-23-51,2016-10-03,OA/C027/16,"servicios de producción de materiales de audio, video e impresos para la campaña institucional 2016",,,2271280.00,2271280.00,2016-10-03,2016-11-09,262,
362-1-24-116,2017-06-19,OA-P023-17,"Servicio de difusión de la Campaña Institucional versión jóvenes en redes sociales para promover los derechos de Acceso a la Información y Protección de Datos Personales",,,338952.00,338952.00,2017-06-01,2017-07-14,2610,http://pruebasproyectos.com/tpo_prueba_09ene19/data/facturas/OA-P023-17.F.2610.VP.pdf
363-1-25-117,2017-06-19,OA-P024-17,"Servicio de difusión de la Campaña Institucional versión jóvenes en redes sociales para promover los derechos de Acceso a la Información y Protección de Datos Personales ",,,435305.54,435305.54,2017-06-01,2017-07-14,222,http://pruebasproyectos.com/tpo_prueba_09ene19/data/facturas/OA-P024-17.F.222.pdf
373-1-26-73,2017-06-27,OA-P027-17,"Servicios relacionados con la participación en un estudio omnibus para conocer la penetración, impacto y percepción de la campaña de comunicación social 2016 del Instituto Nacional de Transparencia, Acceso a la Información y Protección de DatosPersonales",,,90480.00,90480.00,2017-06-12,2017-07-31,50841,http://pruebasproyectos.com/tpo_prueba_09ene19/data/facturas/OA-P027-17.F.50841.pdf
