#,"ID Detalle Factura","Número de factura","Campaña o aviso institucional","Nombre campaña o aviso institucional","Clasificación del servicio","Categoría del servicio","Subcategoría del servicio",Unidad,"Sujeto obligado contratante","Partida contratante","Sujeto obligado solicitante","Partida solicitante","Área administrativa solicitante","Descripción del servicio o producto adquirido",Cantidad,"Precio unitario con I.V.A incluido",Monto,Estatus
1,1,7,Campañas,"Institucional 2015","Otros servicios asociados a la comunicación ","Producción de contenidos",Producción,"Otro formato","Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",36101,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",,"Dirección General de Comunicación Social y Difusión","Nombre comercial del proveedor: Auch TV;
Cobertura: NA;  
Ámbito geográfico de cobertura: NA;
Fecha de inicio: ;
Fecha de término: ;
Grupo(s) de edad: 0;
Lugar de residencia: 0;
Nivel  socieconómico: 0;
Nivel educativo: 0;
Sexo: 0;
Unidad del servicio o producto adquirido: Cápsulas;",1.00,371200.00,371200.00,Activo
2,2,18,Campañas,"Institucional 2015","Servicios de difusión en medios de comunicación","Medios impresos","Diarios Editados en los Estados","1/4 plana","Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",36101,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",,"Dirección General de Comunicación Social y Difusión","Nombre comercial del proveedor: El Dictamen;
Cobertura: estatal;  
Ámbito geográfico de cobertura: Veracruz;
Fecha de inicio: 02/12/2015;
Fecha de término: 31/12/2015;
Grupo(s) de edad: 17-55;
Lugar de residencia: Veracruz;
Nivel  socieconómico: A/B/C+ 50%, C 22%, D+ 14%, D 14% ;
Nivel educativo: 0;
Sexo: Ambos;",2.00,16473.69,32947.38,Activo
3,3,36,Campañas,"Institucional 2015","Servicios de difusión en medios de comunicación",Internet,"Medios Digitales",Banner,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",36101,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",,"Dirección General de Comunicación Social y Difusión","Nombre comercial del proveedor: http://ww.entresemana.mx;
Cobertura: nacional;  
Ámbito geográfico de cobertura: Nacional;
Fecha de inicio: ;
Fecha de término: ;
Grupo(s) de edad: 0;
Lugar de residencia: Nacional ;
Nivel  socieconómico: 0;
Nivel educativo: 0;
Sexo: Ambos;",1.00,46400.00,46400.00,Activo
4,4,99,Campañas,"Institucional 2015","Otros servicios asociados a la comunicación ","Producción de contenidos",Producción,"Otro formato","Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",36101,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",,"Dirección General de Comunicación Social y Difusión","Producción de spots
Nombre comercial del proveedor: SPR;
Cobertura: NA;  
Ámbito geográfico de cobertura: NA;
Fecha de inicio: ;
Fecha de término: ;
Grupo(s) de edad: 0;
Lugar de residencia: 0;
Nivel  socieconómico: 0;
Nivel educativo: 0;
Sexo: 0;",1.00,4650000.00,4650000.00,Activo
5,5,114,Campañas,"Institucional 2015","Servicios de difusión en medios de comunicación","Medios complementarios","Otros medios complementarios","Otro formato","Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",36101,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",,"Dirección General de Comunicación Social y Difusión","Nombre comercial del proveedor: Tren Suburbano;
Cobertura: estatal;  
Ámbito geográfico de cobertura: Estado de  México y Ciudad de México;
Fecha de inicio: ;
Fecha de término: ;
Grupo(s) de edad: 0;
Lugar de residencia: Nacional;
Nivel  socieconómico: 0;
Nivel educativo: 0;
Sexo: Ambos ;",1.00,1530040.00,1530040.00,Activo
6,6,124,Campañas,"Institucional 2015","Servicios de difusión en medios de comunicación","Medios impresos",Revistas,Plana,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",36101,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",,"Dirección General de Comunicación Social y Difusión","Nombre comercial del proveedor: Revista el Contribuyente;
Cobertura: nacional;  
Ámbito geográfico de cobertura: Nacional;
Fecha de inicio: 10/12/2015;
Fecha de término: 15/12/2015;
Grupo(s) de edad: 20-51;
Lugar de residencia: Nacional;
Nivel  socieconómico: A/B 18%, C+ 74%, C 8%;
Nivel educativo: Licenciatura-Doctorado;
Sexo: Ambos;",1.00,92800.00,92800.00,Activo
7,7,252,Campañas,"Institucional 2015","Servicios de difusión en medios de comunicación",Internet,"Medios Digitales",Banner,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",36101,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",,"Dirección General de Comunicación Social y Difusión","Nombre comercial del proveedor: http://sinembargo.mx;
Cobertura: nacional;  
Ámbito geográfico de cobertura: Nacional;
Fecha de inicio: ;
Fecha de término: ;
Grupo(s) de edad: 0;
Lugar de residencia: Nacional;
Nivel  socieconómico: 0;
Nivel educativo: 0;
Sexo: Ambos;
Unidad del servicio o producto adquirido: Box banner en home",1.00,52861.20,52861.20,Activo
8,8,283,"Avisos Institucionales","Semana Nacional de Transparencia 2015 y servicio telefónico TELINAI","Servicios de difusión en medios de comunicación",Internet,"Medios Digitales",Banner,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",33605,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",,"Dirección General de Comunicación Social y Difusión","Nombre comercial del proveedor: http://lasillarota.com;
Cobertura: nacional;  
Ámbito geográfico de cobertura: Nacional;
Fecha de inicio: 01/10/2015;
Fecha de término: 31/10/2015;
Grupo(s) de edad: 0;
Lugar de residencia: Nacional;
Nivel  socieconómico: 0;
Nivel educativo: 0;
Sexo: Ambos;
Unidad del servicio o producto adquirido: Banner en home;",1.00,60900.00,60900.00,Activo
9,9,296,"Avisos Institucionales","Semana Nacional de Transparencia 2015 y servicio telefónico TELINAI","Servicios de difusión en medios de comunicación",Internet,"Medios Digitales",Banner,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",33605,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",,"Dirección General de Comunicación Social y Difusión","Nombre comercial del proveedor: http://www.animalpolitico.com;
Cobertura: nacional;  
Ámbito geográfico de cobertura: Nacional;
Fecha de inicio: 01/10/2015;
Fecha de término: 31/10/2015;
Grupo(s) de edad: 0;
Lugar de residencia: Nacional;
Nivel  socieconómico: 0;
Nivel educativo: 0;
Sexo: Ambos;",1.00,70000.00,70000.00,Activo
10,10,323,Campañas,"Institucional 2015","Servicios de difusión en medios de comunicación",Internet,"Medios Digitales",Banner,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",36101,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",,"Dirección General de Comunicación Social y Difusión","http://lasillarota.com;
Cobertura: nacional;  
Ámbito geográfico de cobertura: Nacional;
Fecha de inicio: ;
Fecha de término: ;
Grupo(s) de edad: 0;
Lugar de residencia: Nacional;
Nivel  socieconómico: 0;
Nivel educativo: 0;
Sexo: Ambos;
Unidad del servicio o producto adquirido: Banner flotante",1.00,174000.00,174000.00,Activo
