#,"ID (Orden de compra)",Proveedor,Procedimiento,Contrato,Ejercicio,Trimestre,"Sujeto obligado ordenante","Campaña o aviso institucional","Sujeto obligado solicitante","Número orden de compra",Justificación,"Fecha de orden","Archivo de la orden de compra en PDF (Vínculo al documento)",Estatus
1,OI-01-15,"El Universal Compañía Periodística Nacional, S.A. de C.V.","Adjudicación directa","Sin contrato",2015,enero-marzo,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales","Elección del Presidente de la Suprema Corte de Justicia de la Nación y Presidente del Consejo de la Judicatura Federal","Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",OI-01-15,"Nombre comercial del proveedor: El Universal
 
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector ",2015-01-06,,Activo
2,"OI-01-15 INAI","La Crónica Diaria, S.A. de C.V.","Adjudicación directa","Sin contrato",2015,abril-junio,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales","Alcances y Retos de la Ley General de Transparencia y Acceso a la Información Pública","Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales","OI-01-15 INAI","Nombre comercial del proveedor: La Crónica
 
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector",2015-05-19,,Activo
3,OI-02-15,"DEMOS, Desarrollo de Medios, S.A. de C.V.","Adjudicación directa","Sin contrato",2015,enero-marzo,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales","Día Internacional de Protección de Datos Personales 2015","Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",OI-02-15,"Nombre comercial del proveedor: La Jornada
 
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector",2015-01-23,,Activo
4,"OI-02-15 INAI","DEMOS, Desarrollo de Medios, S.A. de C.V.","Adjudicación directa","Sin contrato",2015,abril-junio,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales","Alcances y Retos de la Ley General de Transparencia y Acceso a la Información Pública","Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales","OI-02-15 INAI","Nombre comercial del proveedor: La Jornada
 
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector",2015-05-22,,Activo
5,OI-03-15,"Milenio Diario, S.A. de C.V.","Adjudicación directa","Sin contrato",2015,enero-marzo,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales","Día Internacional de Protección de Datos Personales 2015","Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",OI-03-15,"Nombre comercial del proveedor: Milenio Diario
 
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector",2015-01-23,,Activo
6,"OI-03-15 INAI","Milenio Diario, S.A. de C.V.","Adjudicación directa","Sin contrato",2015,abril-junio,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales","Alcances y Retos de la Ley General de Transparencia y Acceso a la Información Pública","Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales","OI-03-15 INAI","Nombre comercial del proveedor: Milenio Diario
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector ",2015-05-22,,Activo
7,OI-04-15,"Organización Editorial Mexicana, S.A. de C.V.","Adjudicación directa","Sin contrato",2015,enero-marzo,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales","Día Internacional de Protección de Datos Personales 2015","Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",OI-04-15,"Nombre comercial del proveedor: Heraldo de Chihuahua
 
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector",2015-01-27,,Activo
8,"OI-04-15 INAI","El Universal Compañía Periodística Nacional, S.A. de C.V.","Adjudicación directa","Sin contrato",2015,abril-junio,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales","Alcances y Retos de la Ley General de Transparencia y Acceso a la Información Pública","Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales","OI-04-15 INAI","Nombre comercial del proveedor: El Universal
 
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector",2015-05-25,,Activo
9,OI-05-15,"Impresora y Editorial, S.A. de C.V.","Adjudicación directa","Sin contrato",2015,enero-marzo,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales","Día Internacional de Protección de Datos Personales 2015","Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",OI-05-15,"Nombre comercial del proveedor: El Imparcial de Sonora
 
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector",2015-01-27,,Activo
10,"OI-05-15 INAI","Ediciones del Norte, S.A. de C.V.","Adjudicación directa","Sin contrato",2015,abril-junio,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales","Alcances y Retos de la Ley General de Transparencia y Acceso a la Información Pública","Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales","OI-05-15 INAI","Nombre comercial del proveedor: Reforma
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector",2015-05-25,,Activo
11,OI-06-15,"Compañía Tipográfica Yucateca, S.A. de C.V.","Adjudicación directa","Sin contrato",2015,enero-marzo,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales","Día Internacional de Protección de Datos Personales 2015","Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",OI-06-15,"Nombre comercial del proveedor: Diario de Yucatán
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector",2015-01-27,,Activo
12,"OI-06-15 INAI","Milenio Diario, S.A. de C.V.","Adjudicación directa","Sin contrato",2015,abril-junio,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales","Sistema Nacional de Transparencia, Acceso a la Información Publica y Protección de Datos Personales","Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales","OI-06-15 INAI","Nombre comercial del proveedor: Milenio Diario
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector",2015-06-18,,Activo
13,OI-07-15,"Ediciones del Norte, S.A. de C.V.","Adjudicación directa","Sin contrato",2015,enero-marzo,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales","Día Internacional de Protección de Datos Personales 2015","Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",OI-07-15,"Nombre comercial del proveedor: El Norte
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector ",2015-01-27,,Activo
14,"OI-07-15 INAI","Editorial Monterrey, S. A.","Adjudicación directa","Sin contrato",2015,abril-junio,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales","Sistema Nacional de Transparencia, Acceso a la Información Publica y Protección de Datos Personales","Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales","OI-07-15 INAI","Nombre comercial del proveedor: La Crónica
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector ",2015-06-20,,Activo
15,OI-08-15,"Unión Editorialista, S.A. de C.V.","Adjudicación directa","Sin contrato",2015,enero-marzo,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales","Día Internacional de Protección de Datos Personales 2015","Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",OI-08-15,"Nombre comercial del proveedor: El Informador
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector",2015-01-27,,Activo
